billid, x, binned score, bipartisan score, status
hjres1,1,1.0,0.989130434783,REFERRED
hjres10,1,1.0,1.0,REFERRED
hjres100,1,0.0,0.0,REFERRED
hjres101,1,1.0,1.0,REFERRED
hjres102,1,0.7,0.666666666667,REFERRED
hjres103,1,0.7,0.666666666667,REFERRED
hjres104,1,1.0,1.0,REFERRED
hjres105,1,0.5,0.516129032258,PASS_OVER:HOUSE
hjres106,1,1.0,1.0,ENACTED:SIGNED
hjres107,1,0.0,0.0,REFERRED
hjres108,1,1.0,1.0,REFERRED
hjres109,1,0.5,0.5,REFERRED
hjres11,1,1.0,1.0,REFERRED
hjres110,1,1.0,1.0,REFERRED
hjres111,1,0.7,0.666666666667,REFERRED
hjres112,1,0.5,0.5,REFERRED
hjres113,1,0.0,0.0,REFERRED
hjres114,1,0.0,0.0,REFERRED
hjres115,1,1.0,1.0,REFERRED
hjres116,1,0.5,0.5,REFERRED
hjres117,1,0.7,0.666666666667,REFERRED
hjres118,1,1.0,0.971428571429,REFERRED
hjres119,1,0.0,0.0,REFERRED
hjres12,1,0.0,0.0,REFERRED
hjres120,1,0.0,0.0,ENACTED:SIGNED
hjres121,1,0.0,0.0,REFERRED
hjres122,1,1.0,1.0,REFERRED
hjres123,1,1.0,1.0,REFERRED
hjres124,1,1.0,1.0,ENACTED:SIGNED
hjres125,1,0.0,0.0,REFERRED
hjres126,1,1.0,1.0,REFERRED
hjres127,1,1.0,1.0,REFERRED
hjres128,1,0.0,0.0,REFERRED
hjres13,1,0.0,0.0,REFERRED
hjres14,1,0.0,0.0,REFERRED
hjres15,1,0.0,0.0,REFERRED
hjres16,1,1.0,1.0,REFERRED
hjres17,1,1.0,1.0,REFERRED
hjres18,1,0.0,0.0,REFERRED
hjres19,1,0.4,0.4,REFERRED
hjres2,1,1.0,0.958041958042,REFERRED
hjres20,1,0.0,0.0,REFERRED
hjres21,1,0.0,0.027027027027,REFERRED
hjres22,1,1.0,1.0,REFERRED
hjres23,1,1.0,1.0,REFERRED
hjres24,1,0.9,0.894736842105,REFERRED
hjres25,1,0.0,0.0,REFERRED
hjres26,1,1.0,1.0,REFERRED
hjres27,1,1.0,1.0,REFERRED
hjres28,1,1.0,0.973684210526,REFERRED
hjres29,1,0.0,0.0,REFERRED
hjres3,1,0.0,0.0,REFERRED
hjres30,1,1.0,1.0,REFERRED
hjres31,1,0.0,0.0,REFERRED
hjres32,1,0.0,0.0,REFERRED
hjres33,1,0.0,0.0,REFERRED
hjres34,1,0.0,0.0,REFERRED
hjres35,1,1.0,1.0,REFERRED
hjres36,1,1.0,1.0,REFERRED
hjres37,1,1.0,1.0,REFERRED
hjres38,1,1.0,1.0,REFERRED
hjres39,1,1.0,1.0,REFERRED
hjres4,1,0.0,0.0,REFERRED
hjres40,1,0.8,0.75,REFERRED
hjres41,1,0.9,0.944444444444,REFERRED
hjres42,1,0.0,0.0,REFERRED
hjres43,1,0.0,0.00934579439252,REFERRED
hjres44,1,0.0,0.0,REFERRED
hjres45,1,0.5,0.5,REFERRED
hjres46,1,0.5,0.5,REFERRED
hjres47,1,0.8,0.84375,REFERRED
hjres48,1,1.0,1.0,REFERRED
