bill_id,intercept_term,num_cosponsors,introduced_month,num_voting_rounds,num_passed_rounds,amount,bipartisan score,% of cosponsors in the committee it is referred to,historical rate for success,historical rate for getting out committee,Vote-mean,Vote-stdev,Vote-hist-10%,Vote-hist-25%,Vote-hist-50%,Vote-hist-75%,Vote-hist-90%,status
hjres1,1,92,1,0,0,96411.0769230769,0.9891304348,0.24,0.137254902,0.5490196078,0.2842396449,0.8327347849,-0.8981732779,-0.5109512685,0.5339822644,0.9690519761,1.202156891,REFERRED
hjres10,1,1,1,0,0,20503.5,1,0.32,0.0391304348,0.2826086957,0.681968449,1.8552444496,-1.204623058,-0.5476518033,0.4230847954,0.9824979777,3.4287113724,REFERRED
hjres100,1,1,10,0,0,9753.3461538462,0,0.06,0.0007309942,0.0168128655,0.684437023,2.5268791163,-2.0448399014,-0.6893930274,0.315870863,0.8792639885,4.7177895579,REFERRED
hjres101,1,2,10,0,0,57818.25,1,0.04,0.0007309942,0.0168128655,0.7331736246,2.5083638831,-1.7428633211,-0.6482910973,0.3040127423,0.8380312964,4.2569721487,REFERRED
hjres102,1,3,11,0,0,26886.5294117647,0.6666666667,0,0.0594059406,0.2945544554,0.4465584073,2.0361298605,-1.8522979237,-0.7659238463,0.1847093657,0.8490920376,3.7639962556,REFERRED
hjres103,1,3,11,0,0,26886.5294117647,0.6666666667,0.1066666667,0.0007309942,0.0168128655,0.9588726198,2.2709670712,-1.3787118803,-0.3514955507,0.6704659509,1.2185508041,4.2494981418,REFERRED
hjres104,1,13,11,0,0,36637.6666666667,1,0.0444444444,0.0426540284,0.2654028436,0.2672627069,1.2638501161,-0.9918074562,-0.5558052965,0.0335365921,0.4972509094,2.0787483159,REFERRED
hjres105,1,31,1,2,2,13186.2083333333,0.5483870968,0.048,0.0594059406,0.2945544554,0.4802411865,1.2531760701,-0.597543144,-0.2304698963,0.134930569,0.603134008,2.3656065908,PASSED:BILL
hjres106,1,1,1,2,2,61303.8461538462,1,0.32,0.0426540284,0.2654028436,0.5068550984,2.0273447076,-1.8530748636,-0.7121675512,0.3023287681,0.9698693775,3.6017261716,ENACTED:SIGNED
hjres107,1,4,1,0,0,67660.6666666667,0,0.0333333333,0.015704154,0.0871327254,0.9104188869,2.1248319588,-1.0108383018,-0.4372741552,0.3955912393,1.111254675,4.2759200625,REFERRED
hjres108,1,9,2,0,0,75278.625,1,0.0025,0.015704154,0.0871327254,0.8370252713,2.0550702059,-1.397465434,-0.3074639581,0.5078213712,1.1106381165,3.850918827,REFERRED
hjres109,1,2,2,0,0,48286.8095238095,0.5,0.0011538462,0.015704154,0.0871327254,0.4520397516,2.3782603621,-2.0380026726,-0.8442222687,0.1367736998,0.6125365104,4.1812727759,REFERRED
hjres11,1,10,1,0,0,111823.8,1,0.0036363636,0.0058252427,0.0262135922,0.7174616548,2.0174506134,-1.016759568,-0.4504810544,0.1520441784,0.7000160464,4.0720855412,REFERRED
