bill_id, 1, numTerms, avgRank, lowestRank, percentCIC, bill_status
s2042,1,2,3.8,1,0.32,REPORTED
s2043,1,1,5.875,1,0.06,REFERRED
s2044,1,1,5.875,1,0.04,REFERRED
s2045,1,8,7.84615384615,5,0.0,REFERRED
s2046,1,9,3.78571428571,1,0.106666666667,REFERRED
s2047,1,9,3.21052631579,1,0.06,REFERRED
s2048,1,4,7.11111111111,4,0.048,REFERRED
s2049,1,2,3.46153846154,1,0.32,REFERRED
hr487,1,5,12.5,9,0.0333333333333,REFERRED
hr486,1,2,4.83333333333,1,0.0025,REFERRED
hr485,1,11,5.7,1,0.00115384615385,REFERRED
hr484,1,3,7.55555555556,1,0.00363636363636,REFERRED
hr483,1,1,11.4444444444,1,0.0,REFERRED
hr482,1,8,3.66666666667,1,0.00410256410256,REFERRED
hr481,1,2,9.77777777778,1,0.028,REFERRED
hr480,1,11,1.66666666667,1,0.0,REFERRED
hr489,1,3,9.0,3,0.0,REFERRED
hr488,1,5,8.66666666667,4,0.0,REFERRED
hr1579,1,4,8.75,3,0.00275862068966,REFERRED
hr1578,1,14,3.33333333333,1,0.0872727272727,REFERRED
hr1296,1,8,5.14285714286,3,0.112,REFERRED
hr1573,1,5,7.16666666667,1,0.00516129032258,REFERRED
hr1572,1,3,6.8,4,0.0133333333333,REFERRED
hr1571,1,4,7.0,2,0.0,REFERRED
hr1570,1,2,6.4,1,0.0,REFERRED
hr1577,1,5,5.5,1,0.106666666667,REFERRED
hr1576,1,5,5.5,1,0.0,REFERRED
hr1574,1,6,4.6,1,0.0,REPORTED
hr1297,1,3,10.3333333333,4,0.106666666667,REFERRED
s799,1,8,4.46153846154,1,0.0,REPORTED
s798,1,9,3.78571428571,1,0.045,REFERRED
s795,1,1,5.41176470588,1,0.0266666666667,REFERRED
s794,1,1,5.6,1,0.00682926829268,REFERRED
s797,1,5,30,20,0.0,REFERRED
s796,1,10,3.52631578947,1,0.0,PASS_OVER:SENATE
s791,1,12,2.0,1,0.24,REFERRED
s790,1,2,3.46153846154,1,0.006,REFERRED
s793,1,10,4.875,1,0.24,ENACTED:SIGNED
s792,1,5,30,20,0.213333333333,REFERRED
hr4431,1,1,10.8333333333,4,0.0,REFERRED
hr4430,1,2,8.0,2,0.00933333333333,REFERRED
hr4433,1,6,4.6,1,0.12,REFERRED
hr4432,1,2,10.375,5,0.00631578947368,REFERRED
hr4435,1,11,2.33333333333,1,0.48,PASS_OVER:HOUSE
hr4434,1,6,4.4,1,0.00487804878049,REFERRED
hr4437,1,1,11.8888888889,4,0.00285714285714,REFERRED
hr4436,1,18,2.14285714286,1,0.32,REFERRED
hr4439,1,11,4.66666666667,1,0.96,REFERRED
hr4438,1,9,2.83333333333,1,0.0233333333333,PASS_OVER:HOUSE
hr1295,1,2,7.16666666667,1,0.0,REFERRED
s249,1,10,4.875,1,0.008,REFERRED
s248,1,1,5.88888888889,1,0.106666666667,REFERRED
s243,1,2,5.72727272727,1,0.24,REFERRED
s242,1,7,3.55555555556,1,0.08,REFERRED
s241,1,6,4.90476190476,1,0.24,REPORTED
s240,1,2,5.0,1,0.00714285714286,REFERRED
s246,1,1,5.88888888889,1,0.24,REFERRED
s245,1,2,4.31578947368,1,0.48,REFERRED
s244,1,1,5.6,1,0.24,PASS_OVER:SENATE
hr4723,1,1,12.0,3,0.00444444444444,REFERRED
s308,1,1,5.88888888889,1,0.0,REFERRED
s309,1,10,3.86666666667,1,0.00238095238095,ENACTED:SIGNED
s306,1,2,2.5,1,0.112,REPORTED
s307,1,10,4.875,1,0.0177777777778,REFERRED
s304,1,9,3.64285714286,1,0.0,ENACTED:SIGNED
s305,1,9,3.64285714286,1,0.0,REPORTED
s302,1,5,4.46666666667,1,0.0,REFERRED
s303,1,5,4.46666666667,1,0.0,REFERRED
s300,1,5,4.46666666667,1,0.213333333333,REFERRED
s301,1,5,4.46666666667,1,0.106666666667,REFERRED
s1711,1,2,2.5,1,0.0,REFERRED
s1710,1,2,3.8,1,0.0,REFERRED
s1713,1,4,5.44444444444,1,0.0,REFERRED
s1712,1,7,3.17647058824,1,0.00965517241379,REFERRED
s1715,1,1,5.44444444444,1,0.0171428571429,REFERRED
s1714,1,1,5.27777777778,1,0.0,REFERRED
s1717,1,1,6.5,1,0.0,REFERRED
s1716,1,1,5.44444444444,1,0.0338461538462,REFERRED
s1719,1,4,2.66666666667,1,0.04,REPORTED
s1718,1,1,5.44444444444,1,0.0,REFERRED
hr317,1,2,13.25,8,0.0,REFERRED
hr316,1,1,14.5,7,0.0,ENACTED:SIGNED
hr315,1,9,30,20,0.0,REFERRED
hr314,1,9,30,20,0.0,REFERRED
hr313,1,9,30,20,0.106666666667,PASS_OVER:HOUSE
hr312,1,7,4.16666666667,1,0.00125,REFERRED
hr311,1,2,7.125,1,0.00162162162162,PASS_OVER:HOUSE
hr310,1,12,4.0,1,0.0,REFERRED
hr319,1,7,4.25,1,0.0,REFERRED
hr318,1,17,2.5,2,0.000579710144928,REFERRED
hr3427,1,11,2.14285714286,1,0.112,REFERRED
hr3426,1,3,10.3333333333,3,0.0646153846154,REFERRED
hr3425,1,5,5.16666666667,1,0.00666666666667,REFERRED
hr3424,1,8,4.66666666667,2,0.08,REFERRED
hr3423,1,7,3.16666666667,1,0.00888888888889,REFERRED
hr3422,1,7,3.16666666667,1,0.0,REFERRED
hr3421,1,2,9.71428571429,1,0.04,REFERRED
hr3420,1,11,3.25,1,0.24,REFERRED
hr3429,1,5,12.5,9,0.0168421052632,REFERRED
hr3428,1,2,12.5,7,0.0,REFERRED
hr1392,1,2,15.3333333333,10,0.008,REFERRED
s878,1,1,4.69230769231,1,0.00923076923077,REFERRED
s879,1,12,2.41176470588,1,0.0,REFERRED
hr2488,1,14,6.9,1,0.06,REFERRED
hr2489,1,14,6.9,1,0.06,REFERRED
hr2486,1,9,6.25,4,0.12,REFERRED
hr2487,1,7,4.16666666667,1,0.24,REFERRED
hr2484,1,1,7.5,2,0.00666666666667,REFERRED
hr2485,1,1,5.5,1,0.00923076923077,REFERRED
hr2482,1,14,2.33333333333,1,0.00571428571429,REFERRED
hr2483,1,14,2.33333333333,1,0.0145454545455,REFERRED
hr2480,1,25,1.5,1,0.0188235294118,REFERRED
hr2481,1,2,9.0,1,0.96,PASS_OVER:HOUSE
hr2355,1,4,8.66666666667,2,0.0,REFERRED
hr2352,1,8,4.71428571429,1,0.0355555555556,REFERRED
hr2353,1,18,2.14285714286,1,0.04,PASS_OVER:HOUSE
hr2350,1,1,8.16666666667,1,0.00516129032258,REFERRED
hr2351,1,10,3.0,1,0.16,REFERRED
hr1149,1,10,3.0,1,0.00705882352941,REFERRED
hr388,1,2,9.66666666667,3,0.06,REFERRED
hr389,1,3,10.2857142857,5,0.32,REFERRED
hr5134,1,5,2.8,1,0.48,ENACTED:SIGNED
hr4513,1,1,14.6666666667,8,0.96,REFERRED
s498,1,8,4.46153846154,1,0.0,REFERRED
s499,1,5,4.46666666667,1,0.0,REFERRED
